location_id,city,country,region
1,East Steven,Falkland Islands (Malvinas),Europe
2,Lauraville,Papua New Guinea,Middle East
3,Valerieburgh,Greece,Middle East
4,Cochranstad,Mauritania,Middle East
5,Kellystad,Egypt,Europe
6,New Tyler,Turkey,Asia
7,Port Brian,Guyana,Europe
8,Samuelside,San Marino,North America
9,Darrellhaven,Nigeria,Europe
10,Morganborough,Zambia,Asia
11,Kristimouth,Sweden,Asia
12,Aliborough,Turks and Caicos Islands,Africa
13,Lake Ruthport,Belarus,Africa
14,East Philipstad,Mali,Europe
15,Davidmouth,San Marino,Africa
16,Smithtown,South Georgia and the South Sandwich Islands,Africa
17,Turnerfort,Madagascar,Africa
18,Johnstonton,Russian Federation,Middle East
19,West Cindy,United States Minor Outlying Islands,North America
20,Lake Amber,Palau,Asia
21,Lake Raymondport,Sri Lanka,Asia
22,Perezton,Singapore,Europe
23,Lake Cynthia,Timor-Leste,Europe
24,North Joshuaville,Dominican Republic,Asia
25,Hunterbury,United States of America,Africa
26,Thomaschester,Brunei Darussalam,North America
27,Lake Nicholefort,Mauritania,Asia
28,Kellytown,Morocco,North America
29,New Kyle,Korea,Asia
30,Jacksonborough,Sudan,Africa
31,West Heather,Nicaragua,Europe
32,Lake James,Germany,Asia
33,West Marc,Anguilla,Middle East
34,Frankville,Rwanda,Asia
35,Christyburgh,Egypt,Africa
36,Davisland,Ethiopia,Europe
37,Christopherview,Cyprus,Africa
38,Port Kathrynside,Portugal,Asia
39,Barbarastad,Costa Rica,Asia
40,East Kevinmouth,Oman,Africa
41,Michaelshire,Lithuania,Middle East
42,Port Amanda,Australia,Africa
43,Lake Kristieshire,Isle of Man,Middle East
44,Morganborough,Turkmenistan,Africa
45,North Linda,Nicaragua,North America
46,Port Amandafort,Liechtenstein,Middle East
47,South Jonathan,Cyprus,Asia
48,New Taylor,Singapore,Europe
49,Carrillotown,Antarctica (the territory South of 60 deg S),Europe
50,Port Thomas,Vietnam,Middle East
51,West Johntown,Saint Helena,Middle East
52,North Jenniferstad,Egypt,Europe
53,West Mary,Guatemala,Middle East
54,Port Christopher,Kenya,Africa
55,New Jaredshire,San Marino,Europe
56,Deborahville,Benin,North America
57,Lloydville,Croatia,Africa
58,Billymouth,New Zealand,Asia
59,Lake Christopherton,Maldives,Asia
60,Ashleyfurt,Reunion,Middle East
61,Coleton,Montenegro,North America
62,Walkermouth,Switzerland,Middle East
63,South Justinhaven,Yemen,North America
64,East Amy,Macao,Africa
65,Lake Juanland,Czech Republic,Europe
66,East Terriville,Estonia,Africa
67,Brianbury,Palestinian Territory,Africa
68,North James,Sao Tome and Principe,Europe
69,Ashleeborough,Saint Vincent and the Grenadines,Asia
70,Curtisberg,Chad,Middle East
71,Cohenton,Netherlands Antilles,North America
72,Ericshire,Finland,Asia
73,South Calvin,Sao Tome and Principe,Asia
74,New Cheyenneburgh,Bahamas,Middle East
75,North Ashlee,Korea,Middle East
76,Hendersonchester,Eritrea,Middle East
77,North Tonyaland,Chile,Middle East
78,South Robertchester,Iraq,Middle East
79,Bellchester,Congo,Africa
80,Port Joseph,Barbados,North America
81,Lake Davidfort,Russian Federation,Europe
82,West Sandra,Lesotho,Africa
83,Catherinemouth,Armenia,North America
84,Ethanville,Austria,Middle East
85,New Jack,Guyana,Africa
86,Hoganton,Micronesia,Asia
87,Frederickmouth,Paraguay,Asia
88,Cowanport,Faroe Islands,Africa
89,West Robert,Reunion,Africa
90,Nataliemouth,Serbia,Asia
91,New Lisa,Thailand,Africa
92,Gonzalezburgh,Guernsey,Africa
93,Landryside,Burkina Faso,Middle East
94,Hopkinsstad,Burkina Faso,North America
95,New Richardtown,Eritrea,Europe
96,South Melissaberg,Liechtenstein,Europe
97,East Seanbury,Guadeloupe,Europe
98,Darleneland,Turkey,Middle East
99,South Donald,Congo,Europe
100,South Lisafort,Israel,Middle East
